method,num_cstep,entry_time,cstep_size,num_pstep,corrector,fid,k
gibbs,1,0.5,0,32,gibbs_mpf,8.86739,16
gibbs,1,0.5,0,32,gibbs_uninformed,,1
gibbs,1,0.5,0,32,gibbs_uninformed,,2
gibbs,1,0.5,0,32,gibbs_uninformed,,4
gibbs,1,0.5,0,32,gibbs_uninformed,,8
gibbs,1,0.5,0,32,gibbs_uninformed,,16
gibbs,1,0.5,0,32,gibbs,10.2413845,1
gibbs,1,0.5,0,32,gibbs,9.661854,2
gibbs,1,0.5,0,32,gibbs,9.193523,4
gibbs,1,0.5,0,32,gibbs,9.055202,8
gibbs,1,0.5,0,32,gibbs,8.575207,16
gibbs,1,0.5,0,64,gibbs_mpf,9.279137,1
gibbs,1,0.5,0,64,gibbs_mpf,8.9844675,2
gibbs,1,0.5,0,64,gibbs_mpf,8.664692,4
gibbs,1,0.5,0,64,gibbs_mpf,8.80491,8
gibbs,1,0.5,0,64,gibbs_mpf,9.784045,16
gibbs,1,0.5,0,64,gibbs_uninformed,,1
gibbs,1,0.5,0,64,gibbs_uninformed,,2
gibbs,1,0.5,0,64,gibbs_uninformed,,4
gibbs,1,0.5,0,64,gibbs_uninformed,,8
gibbs,1,0.5,0,64,gibbs_uninformed,,16
gibbs,1,0.5,0,64,gibbs,9.192978,1
gibbs,1,0.5,0,64,gibbs,8.904084,2
gibbs,1,0.5,0,64,gibbs,8.706618,4
gibbs,1,0.5,0,64,gibbs,8.622238,8
gibbs,1,0.5,0,64,gibbs,9.00916,16
gibbs,1,0.5,0,128,gibbs_mpf,8.845622,1
gibbs,1,0.5,0,128,gibbs_mpf,8.731548,2
gibbs,1,0.5,0,128,gibbs_mpf,9.194652,4
gibbs,1,0.5,0,128,gibbs_mpf,10.18006,8
gibbs,1,0.5,0,128,gibbs_mpf,12.246945,16
gibbs,1,0.5,0,128,gibbs_uninformed,,1
gibbs,1,0.5,0,128,gibbs_uninformed,,2
gibbs,1,0.5,0,128,gibbs_uninformed,,4
gibbs,1,0.5,0,128,gibbs_uninformed,,8
gibbs,1,0.5,0,128,gibbs_uninformed,,16
gibbs,1,0.5,0,128,gibbs,8.992064,1
gibbs,1,0.5,0,128,gibbs,8.6784725,2
gibbs,1,0.5,0,128,gibbs,8.994785,4
gibbs,1,0.5,0,128,gibbs,9.802264,8
gibbs,1,0.5,0,128,gibbs,10.845848,16
gibbs,1,0.9,0,8,gibbs_uninformed,16.6491,1
gibbs,1,0.9,0,8,gibbs_uninformed,16.020815,2
gibbs,1,0.9,0,8,gibbs_uninformed,15.182148,4
gibbs,1,0.9,0,8,gibbs_uninformed,14.504456,8
gibbs,1,0.9,0,8,gibbs_uninformed,14.345209,16
gibbs,1,0.9,0,16,gibbs_uninformed,11.875328,1
gibbs,1,0.9,0,16,gibbs_uninformed,11.774972,2
gibbs,1,0.9,0,16,gibbs_uninformed,11.354292,4
gibbs,1,0.9,0,16,gibbs_uninformed,10.973934,8
gibbs,1,0.9,0,16,gibbs_uninformed,10.914795,16
gibbs,1,0.9,0,32,gibbs_uninformed,10.294111,1
gibbs,1,0.9,0,32,gibbs_uninformed,9.740997,2
gibbs,1,0.9,0,32,gibbs_uninformed,9.699859,4
gibbs,1,0.9,0,32,gibbs_uninformed,9.713664,8
gibbs,1,0.9,0,32,gibbs_uninformed,9.690618,16
gibbs,1,0.9,0,64,gibbs_uninformed,9.69868,1
gibbs,1,0.9,0,64,gibbs_uninformed,9.311585,2
gibbs,1,0.9,0,64,gibbs_uninformed,9.117941,4
gibbs,1,0.9,0,64,gibbs_uninformed,8.597208,8
gibbs,1,0.9,0,64,gibbs_uninformed,8.721433,16
gibbs,1,0.9,0,128,gibbs_uninformed,8.894636,1
gibbs,1,0.9,0,128,gibbs_uninformed,8.639523,2
gibbs,1,0.9,0,128,gibbs_uninformed,8.34552,4
gibbs,1,0.9,0,128,gibbs_uninformed,8.331333,8
gibbs,1,0.5,0,8,gibbs_uninformed,17.66358,1
gibbs,1,0.5,0,8,gibbs_uninformed,17.555323,2
gibbs,1,0.5,0,8,gibbs_uninformed,16.969568,4
gibbs,1,0.5,0,8,gibbs_uninformed,16.568918,8
gibbs,1,0.5,0,8,gibbs_uninformed,15.880819,16
gibbs,1,0.5,0,16,gibbs_uninformed,12.597342,1
gibbs,1,0.5,0,16,gibbs_uninformed,12.58943,2
gibbs,1,0.5,0,16,gibbs_uninformed,12.27239,4
gibbs,1,0.5,0,16,gibbs_uninformed,11.847623,8
gibbs,1,0.5,0,16,gibbs_uninformed,11.417541,16
gibbs,1,0.5,0,32,gibbs_uninformed,10.864443,1
gibbs,1,0.5,0,32,gibbs_uninformed,10.737152,2
gibbs,1,0.5,0,32,gibbs_uninformed,10.405891,4
gibbs,1,0.5,0,32,gibbs_uninformed,10.457178,8
gibbs,1,0.5,0,32,gibbs_uninformed,9.580537,16
gibbs,1,0.5,0,64,gibbs_uninformed,9.948339,1
gibbs,1,0.5,0,64,gibbs_uninformed,9.866173,2
gibbs,1,0.5,0,64,gibbs_uninformed,9.426943,4
gibbs,1,0.5,0,64,gibbs_uninformed,8.92479,8
gibbs,1,0.5,0,64,gibbs_uninformed,8.496442,16
gibbs,1,0.5,0,128,gibbs_uninformed,9.843972,1
gibbs,1,0.5,0,128,gibbs_uninformed,9.254946,2
gibbs,1,0.5,0,128,gibbs_uninformed,8.782122,4
gibbs,1,0.5,0,128,gibbs_uninformed,8.597016,8
gibbs,1,0.5,0,128,gibbs_uninformed,7.8829927,16
