method,num_cstep,entry_time,cstep_size,num_pstep,corrector,fid,k,gibbs_temperature,maskgit_temperature
gibbs,1,0.9,-1,32,gibbs,8.736364,1,2.0,-1
gibbs,1,0.9,-1,32,gibbs,9.536261,1,5.0,-1
gibbs,1,0.9,-1,64,gibbs,17.29083,16,0.1,-1
gibbs,1,0.9,-1,64,gibbs,15.429272,16,1.0,-1
gibbs,1,0.9,-1,64,gibbs,12.6031685,16,2.0,-1
gibbs,1,0.9,-1,64,gibbs,8.709617,16,5.0,-1
gibbs,1,0.9,-1,64,gibbs,17.51036,8,0.1,-1
gibbs,1,0.9,-1,64,gibbs,15.228245,8,1.0,-1
gibbs,1,0.9,-1,64,gibbs,12.287374,8,2.0,-1
gibbs,1,0.9,-1,64,gibbs,8.575142,8,5.0,-1
gibbs,1,0.9,-1,64,gibbs,16.247007,4,0.1,-1
gibbs,1,0.9,-1,64,gibbs,13.708866,4,1.0,-1
gibbs,1,0.9,-1,64,gibbs,10.772478,4,2.0,-1
gibbs,1,0.9,-1,64,gibbs,8.253044,4,5.0,-1
gibbs,1,0.9,-1,64,gibbs,14.174338,2,0.1,-1
gibbs,1,0.9,-1,64,gibbs,11.309127,2,1.0,-1
gibbs,1,0.9,-1,64,gibbs,8.901908,2,2.0,-1
gibbs,1,0.9,-1,64,gibbs,8.12166,2,5.0,-1
gibbs,1,0.9,-1,64,gibbs,11.718966,1,0.1,-1
gibbs,1,0.9,-1,64,gibbs,9.402853,1,1.0,-1
gibbs,1,0.9,-1,64,gibbs,8.234213,1,2.0,-1
gibbs,1,0.9,-1,64,gibbs,8.536097,1,5.0,-1
gibbs,1,0.9,-1,128,gibbs,20.747467,16,0.1,-1
gibbs,1,0.9,-1,128,gibbs,19.031012,16,1.0,-1
gibbs,1,0.9,-1,128,gibbs,16.297884,16,2.0,-1
gibbs,1,0.9,-1,128,gibbs,10.765137,16,5.0,-1
gibbs,1,0.9,-1,128,gibbs,21.883608,8,0.1,-1
gibbs,1,0.9,-1,128,gibbs,19.377981,8,1.0,-1
gibbs,1,0.9,-1,128,gibbs,15.605742,8,2.0,-1
gibbs,1,0.9,-1,128,gibbs,10.474392,8,5.0,-1
gibbs,1,0.9,-1,128,gibbs,20.28021,4,0.1,-1
gibbs,1,0.9,-1,128,gibbs,17.482443,4,1.0,-1
gibbs,1,0.9,-1,128,gibbs,13.951999,4,2.0,-1
gibbs,1,0.9,-1,128,gibbs,9.093935,4,5.0,-1
gibbs,1,0.9,-1,128,gibbs,17.644547,2,0.1,-1
gibbs,1,0.9,-1,128,gibbs,14.919676,2,1.0,-1
gibbs,1,0.9,-1,128,gibbs,11.39761,2,2.0,-1
gibbs,1,0.9,-1,128,gibbs,8.363313,2,5.0,-1
gibbs,1,0.9,-1,128,gibbs,14.932135,1,0.1,-1
gibbs,1,0.9,-1,128,gibbs,12.114527,1,1.0,-1
gibbs,1,0.9,-1,128,gibbs,9.620937,1,2.0,-1
gibbs,1,0.9,-1,128,gibbs,8.156683,1,5.0,-1
