method,num_cstep,entry_time,cstep_size,num_pstep,corrector,fid
euler,1,0.5,0.02,8,mpf,25.8464
euler,1,0.5,2.0,8,barker,24.451693
euler,1,0.5,0.02,8,mpf_full,130.96912
euler,1,0.5,0.02,8,barker_full,59.207996
euler,1,0.5,0.02,16,mpf,14.292196
euler,1,0.5,2.0,16,barker,14.139886
euler,1,0.5,0.02,16,mpf_full,123.59428
euler,1,0.5,0.02,16,barker_full,30.722801
euler,1,0.5,0.02,32,mpf,11.736699
euler,1,0.5,2.0,32,barker,11.313212
euler,1,0.5,0.02,32,mpf_full,78.847115
euler,1,0.5,0.02,32,barker_full,18.184782
euler,1,0.5,0.02,64,mpf,10.751177
euler,1,0.5,2.0,64,barker,10.096481
euler,1,0.5,0.02,64,mpf_full,24.334248
euler,1,0.5,0.02,64,barker_full,13.277967
euler,1,0.5,0.04,8,mpf,27.7285
euler,1,0.5,4.0,8,barker,24.903038
euler,1,0.5,0.04,8,mpf_full,158.25296
euler,1,0.5,0.04,8,barker_full,91.59151
euler,1,0.5,0.04,16,mpf,14.407143
euler,1,0.5,4.0,16,barker,14.58553
euler,1,0.5,0.04,16,mpf_full,169.52924
euler,1,0.5,0.04,16,barker_full,75.22832
euler,1,0.5,0.04,32,mpf,11.402769
euler,1,0.5,4.0,32,barker,11.296098
euler,1,0.5,0.04,32,mpf_full,157.64792
euler,1,0.5,0.04,32,barker_full,48.10533
euler,1,0.5,0.04,64,mpf,10.253113
euler,1,0.5,4.0,64,barker,9.581095
euler,1,0.5,0.04,64,mpf_full,111.94716
euler,1,0.5,0.04,64,barker_full,23.521101
euler,1,0.5,0.08,8,mpf,32.128212
euler,1,0.5,8.0,8,barker,25.980604
euler,1,0.5,0.08,8,mpf_full,168.68277
euler,1,0.5,0.08,8,barker_full,121.73526
euler,1,0.5,0.08,16,mpf,15.8577
euler,1,0.5,8.0,16,barker,17.15331
euler,1,0.5,0.08,16,mpf_full,181.82657
euler,1,0.5,0.08,16,barker_full,136.36981
euler,1,0.5,0.08,32,mpf,11.488026
euler,1,0.5,8.0,32,barker,12.623577
euler,1,0.5,0.08,32,mpf_full,179.95425
euler,1,0.5,0.08,32,barker_full,129.4589
euler,1,0.5,0.08,64,mpf,9.809596
euler,1,0.5,8.0,64,barker,10.125308
euler,1,0.5,0.08,64,mpf_full,167.93652
euler,1,0.5,0.08,64,barker_full,87.36086
euler,2,0.9,0.005,8,mpf,17.563925
euler,2,0.9,0.5,8,barker,13.603352
euler,2,0.9,0.005,8,mpf_full,105.27264
euler,2,0.9,0.005,8,barker_full,35.220024
euler,2,0.9,0.005,16,mpf,12.0527525
euler,2,0.9,0.5,16,barker,10.773373
euler,2,0.9,0.005,16,mpf_full,52.105576
euler,2,0.9,0.005,16,barker_full,19.062294
euler,2,0.9,0.005,32,mpf,10.264655
euler,2,0.9,0.5,32,barker,9.858538
euler,2,0.9,0.005,32,mpf_full,19.098856
euler,2,0.9,0.005,32,barker_full,13.396981
euler,2,0.9,0.005,64,mpf,9.688389
euler,2,0.9,0.5,64,barker,9.472837
euler,2,0.9,0.005,64,mpf_full,9.797594
euler,2,0.9,0.005,64,barker_full,11.224701
euler,2,0.9,0.01,8,mpf,21.423868
euler,2,0.9,1.0,8,barker,14.052688
euler,2,0.9,0.01,8,mpf_full,159.24123
euler,2,0.9,0.01,8,barker_full,70.05783
euler,2,0.9,0.01,16,mpf,12.434711
euler,2,0.9,1.0,16,barker,10.241166
euler,2,0.9,0.01,16,mpf_full,122.402
euler,2,0.9,0.01,16,barker_full,39.455704
euler,2,0.9,0.01,32,mpf,10.098209
euler,2,0.9,1.0,32,barker,9.188141
euler,2,0.9,0.01,32,mpf_full,56.91095
euler,2,0.9,0.01,32,barker_full,21.371353
euler,2,0.9,0.01,64,mpf,9.466811
euler,2,0.9,1.0,64,barker,8.9271755
euler,2,0.9,0.01,64,mpf_full,17.527441
euler,2,0.9,0.01,64,barker_full,13.626596
euler,2,0.9,0.02,8,mpf,31.83754
euler,2,0.9,2.0,8,barker,19.758974
euler,2,0.9,0.02,8,mpf_full,179.19788
euler,2,0.9,0.02,8,barker_full,129.18364
euler,2,0.9,0.02,16,mpf,15.505808
euler,2,0.9,2.0,16,barker,11.203498
euler,2,0.9,0.02,16,mpf_full,166.85753
euler,2,0.9,0.02,16,barker_full,100.17877
euler,2,0.9,0.02,32,mpf,10.508756
euler,2,0.9,2.0,32,barker,9.327366
euler,2,0.9,0.02,32,mpf_full,128.62163
euler,2,0.9,0.02,32,barker_full,55.436836
euler,2,0.9,0.02,64,mpf,9.249393
euler,2,0.9,2.0,64,barker,8.953221
euler,2,0.9,0.02,64,mpf_full,55.775627
euler,2,0.9,0.02,64,barker_full,26.233395
