seed,nfe,forward_process,predictor_type,corrector_type,num_steps,gibbs_k,gibbs_temperature,anneal_temperature,maskgit_temperature,avg_run_length,error_rate
0,16,CosineSchedule,md4,gibbs,8,4,0.1,True,,6.0414405,0.02699213
1,16,CosineSchedule,md4,gibbs,8,4,0.1,True,,5.9095106,0.028188977
2,16,CosineSchedule,md4,gibbs,8,4,0.1,True,,5.986064,0.028181102
3,16,CosineSchedule,md4,gibbs,8,4,0.1,True,,6.0845175,0.027047245
4,16,CosineSchedule,md4,gibbs,8,4,0.1,True,,6.0150375,0.027598424
0,16,CosineSchedule,md4,gibbs,8,4,0.5,True,,5.986624,0.027259845
1,16,CosineSchedule,md4,gibbs,8,4,0.5,True,,5.934443,0.028007869
2,16,CosineSchedule,md4,gibbs,8,4,0.5,True,,5.937471,0.028685039
3,16,CosineSchedule,md4,gibbs,8,4,0.5,True,,6.093207,0.026716534
4,16,CosineSchedule,md4,gibbs,8,4,0.5,True,,5.9846644,0.028
0,16,CosineSchedule,md4,gibbs,8,4,1.0,True,,6.0608926,0.026889764
1,16,CosineSchedule,md4,gibbs,8,4,1.0,True,,5.9899855,0.027251974
2,16,CosineSchedule,md4,gibbs,8,4,1.0,True,,5.916066,0.028456695
3,16,CosineSchedule,md4,gibbs,8,4,1.0,True,,6.0946574,0.02677953
4,16,CosineSchedule,md4,gibbs,8,4,1.0,True,,6.0040336,0.027771657
0,16,CosineSchedule,md4,gibbs,8,4,2.0,True,,5.988865,0.027566928
1,16,CosineSchedule,md4,gibbs,8,4,2.0,True,,5.974329,0.027338581
2,16,CosineSchedule,md4,gibbs,8,4,2.0,True,,5.8864107,0.028055117
3,16,CosineSchedule,md4,gibbs,8,4,2.0,True,,6.0272164,0.027149612
4,16,CosineSchedule,md4,gibbs,8,4,2.0,True,,6.052009,0.0267874
0,16,CosineSchedule,md4,gibbs,8,4,4.0,True,,5.9095106,0.028015755
1,16,CosineSchedule,md4,gibbs,8,4,4.0,True,,5.831435,0.028015753
2,16,CosineSchedule,md4,gibbs,8,4,4.0,True,,5.8629537,0.027551185
3,16,CosineSchedule,md4,gibbs,8,4,4.0,True,,5.94464,0.027165351
4,16,CosineSchedule,md4,gibbs,8,4,4.0,True,,5.933068,0.027204724
0,16,CosineSchedule,md4,gibbs,8,8,0.01,True,,5.1748533,0.035125982
1,16,CosineSchedule,md4,gibbs,8,8,0.01,True,,5.1380863,0.03467716
2,16,CosineSchedule,md4,gibbs,8,8,0.01,True,,5.2072735,0.034606297
3,16,CosineSchedule,md4,gibbs,8,8,0.01,True,,5.274218,0.03441733
4,16,CosineSchedule,md4,gibbs,8,8,0.01,True,,5.231323,0.034724403
0,16,CosineSchedule,md4,gibbs,8,8,0.1,True,,5.187016,0.034897637
1,16,CosineSchedule,md4,gibbs,8,8,0.1,True,,5.1354065,0.035385825
2,16,CosineSchedule,md4,gibbs,8,8,0.1,True,,5.229826,0.03398425
3,16,CosineSchedule,md4,gibbs,8,8,0.1,True,,5.2726974,0.034425206
4,16,CosineSchedule,md4,gibbs,8,8,0.1,True,,5.241176,0.03475591
0,16,CosineSchedule,md4,gibbs,8,8,0.5,True,,5.2172494,0.034362204
1,16,CosineSchedule,md4,gibbs,8,8,0.5,True,,5.1971254,0.035149615
2,16,CosineSchedule,md4,gibbs,8,8,0.5,True,,5.243967,0.034141734
3,16,CosineSchedule,md4,gibbs,8,8,0.5,True,,5.3587875,0.033803154
4,16,CosineSchedule,md4,gibbs,8,8,0.5,True,,5.259049,0.034834646
0,16,CosineSchedule,md4,gibbs,8,8,1.0,True,,5.310322,0.03318898
1,16,CosineSchedule,md4,gibbs,8,8,1.0,True,,5.275522,0.033811025
2,16,CosineSchedule,md4,gibbs,8,8,1.0,True,,5.3030615,0.03386614
3,16,CosineSchedule,md4,gibbs,8,8,1.0,True,,5.4637814,0.033181097
4,16,CosineSchedule,md4,gibbs,8,8,1.0,True,,5.3754406,0.033763777
0,16,CosineSchedule,md4,gibbs,8,8,2.0,True,,5.459586,0.031645667
1,16,CosineSchedule,md4,gibbs,8,8,2.0,True,,5.400844,0.033425204
2,16,CosineSchedule,md4,gibbs,8,8,2.0,True,,5.459586,0.032259844
3,16,CosineSchedule,md4,gibbs,8,8,2.0,True,,5.5647335,0.03222047
4,16,CosineSchedule,md4,gibbs,8,8,2.0,True,,5.448663,0.032889765
0,16,CosineSchedule,md4,gibbs,8,8,4.0,True,,5.5224786,0.031425197
1,16,CosineSchedule,md4,gibbs,8,8,4.0,True,,5.450752,0.031913392
2,16,CosineSchedule,md4,gibbs,8,8,4.0,True,,5.4829726,0.03136221
3,16,CosineSchedule,md4,gibbs,8,8,4.0,True,,5.6577086,0.03054331
4,16,CosineSchedule,md4,gibbs,8,8,4.0,True,,5.5625567,0.031307086
0,16,CosineSchedule,md4,gibbs,8,16,0.01,True,,4.119332,0.04678739
1,16,CosineSchedule,md4,gibbs,8,16,0.01,True,,4.0709877,0.04751181
2,16,CosineSchedule,md4,gibbs,8,16,0.01,True,,4.147898,0.04631495
3,16,CosineSchedule,md4,gibbs,8,16,0.01,True,,4.1681595,0.045464568
4,16,CosineSchedule,md4,gibbs,8,16,0.01,True,,4.0712466,0.04809449
0,16,CosineSchedule,md4,gibbs,8,16,0.1,True,,4.138243,0.046503942
1,16,CosineSchedule,md4,gibbs,8,16,0.1,True,,4.064008,0.048039373
2,16,CosineSchedule,md4,gibbs,8,16,0.1,True,,4.1536865,0.046031494
3,16,CosineSchedule,md4,gibbs,8,16,0.1,True,,4.180411,0.04512598
4,16,CosineSchedule,md4,gibbs,8,16,0.1,True,,4.067107,0.048157483
0,16,CosineSchedule,md4,gibbs,8,16,0.5,True,,4.1935587,0.046078727
1,16,CosineSchedule,md4,gibbs,8,16,0.5,True,,4.1143003,0.04726771
2,16,CosineSchedule,md4,gibbs,8,16,0.5,True,,4.2219143,0.044952754
3,16,CosineSchedule,md4,gibbs,8,16,0.5,True,,4.236587,0.04497638
