seed,nfe,forward_process,predictor_type,corrector_type,num_steps,gibbs_k,gibbs_temperature,anneal_temperature,maskgit_temperature,avg_run_length,error_rate
2,16,CosineSchedule,md4,gibbs,8,2.0,4.0,True,,5.996439,0.021559063
3,16,CosineSchedule,md4,gibbs,8,2.0,4.0,True,,6.0096717,0.020803152
0,16,CosineSchedule,md4,none,16,,,True,,6.827759,0.00903937
1,16,CosineSchedule,md4,none,16,,,True,,6.79983,0.009362206
2,16,CosineSchedule,md4,none,16,,,True,,6.7800198,0.009370079
3,16,CosineSchedule,md4,none,16,,,True,,6.885422,0.009181101
4,16,CosineSchedule,md4,none,16,,,True,,6.73082,0.009543308
0,16,CosineSchedule,md4,gibbs,8,1.0,0.0,True,,6.620804,0.015779532
1,16,CosineSchedule,md4,gibbs,8,1.0,0.0,True,,6.3814936,0.01717323
2,16,CosineSchedule,md4,gibbs,8,1.0,0.0,True,,6.5786095,0.01701575
3,16,CosineSchedule,md4,gibbs,8,1.0,0.0,True,,6.6607695,0.01618898
4,16,CosineSchedule,md4,gibbs,8,1.0,0.0,True,,6.495154,0.016496064
0,16,CosineSchedule,md4,gibbs,8,1.0,0.1,True,,6.5506654,0.01628347
1,16,CosineSchedule,md4,gibbs,8,1.0,0.1,True,,6.358353,0.01699213
2,16,CosineSchedule,md4,gibbs,8,1.0,0.1,True,,6.506379,0.017236218
3,16,CosineSchedule,md4,gibbs,8,1.0,0.1,True,,6.6184077,0.016503938
4,16,CosineSchedule,md4,gibbs,8,1.0,0.1,True,,6.4767494,0.016629925
0,16,CosineSchedule,md4,gibbs,8,1.0,0.5,True,,6.4102564,0.017007876
1,16,CosineSchedule,md4,gibbs,8,1.0,0.5,True,,6.308215,0.017377956
2,16,CosineSchedule,md4,gibbs,8,1.0,0.5,True,,6.4938364,0.016755907
3,16,CosineSchedule,md4,gibbs,8,1.0,0.5,True,,6.573879,0.016472444
4,16,CosineSchedule,md4,gibbs,8,1.0,0.5,True,,6.481341,0.016275594
0,16,CosineSchedule,md4,gibbs,8,1.0,1.0,True,,6.3262987,0.017165357
1,16,CosineSchedule,md4,gibbs,8,1.0,1.0,True,,6.1976466,0.017937012
2,16,CosineSchedule,md4,gibbs,8,1.0,1.0,True,,6.4652996,0.016881892
3,16,CosineSchedule,md4,gibbs,8,1.0,1.0,True,,6.504726,0.016527561
4,16,CosineSchedule,md4,gibbs,8,1.0,1.0,True,,6.3748193,0.016944882
0,16,CosineSchedule,md4,gibbs,8,1.0,2.0,True,,6.21812,0.017299214
1,16,CosineSchedule,md4,gibbs,8,1.0,2.0,True,,6.065776,0.01822835
2,16,CosineSchedule,md4,gibbs,8,1.0,2.0,True,,6.2720504,0.01728347
3,16,CosineSchedule,md4,gibbs,8,1.0,2.0,True,,6.345115,0.01685827
4,16,CosineSchedule,md4,gibbs,8,1.0,2.0,True,,6.2429886,0.017149609
0,16,CosineSchedule,md4,gibbs,8,1.0,4.0,True,,6.0568776,0.017007878
1,16,CosineSchedule,md4,gibbs,8,1.0,4.0,True,,5.9084196,0.018614175
2,16,CosineSchedule,md4,gibbs,8,1.0,4.0,True,,6.125574,0.017125988
3,16,CosineSchedule,md4,gibbs,8,1.0,4.0,True,,6.1994486,0.016236221
4,16,CosineSchedule,md4,gibbs,8,1.0,4.0,True,,6.0830717,0.01684252
0,16,CosineSchedule,md4,gibbs,8,2.0,0.0,True,,6.2843676,0.018724414
1,16,CosineSchedule,md4,gibbs,8,2.0,0.0,True,,6.0703783,0.020291347
2,16,CosineSchedule,md4,gibbs,8,2.0,0.0,True,,6.323798,0.018488193
3,16,CosineSchedule,md4,gibbs,8,2.0,0.0,True,,6.310081,0.019023623
