seed,nfe,forward_process,predictor_type,corrector_type,num_steps,gibbs_k,gibbs_temperature,anneal_temperature,maskgit_temperature,corrector_step_size,avg_run_length,error_rate
1,32,CosineSchedule,md4,forward_backward,16,,,False,,2.0,6.5863953,0.0072362176
2,32,CosineSchedule,md4,forward_backward,16,,,False,,2.0,6.719866,0.0065118093
3,32,CosineSchedule,md4,forward_backward,16,,,False,,2.0,6.589446,0.0072519663
4,32,CosineSchedule,md4,forward_backward,16,,,False,,2.0,6.6966624,0.0070866123
0,32,CosineSchedule,md4,forward_backward,16,,,False,,3.0,6.20125,0.008456692
1,32,CosineSchedule,md4,forward_backward,16,,,False,,3.0,6.176116,0.008566928
2,32,CosineSchedule,md4,forward_backward,16,,,False,,3.0,6.235082,0.008913386
3,32,CosineSchedule,md4,forward_backward,16,,,False,,3.0,6.261006,0.008716534
4,32,CosineSchedule,md4,forward_backward,16,,,False,,3.0,6.2567215,0.008582677
0,32,CosineSchedule,md4,forward_backward,16,,,False,,4.0,5.916066,0.011181102
1,32,CosineSchedule,md4,forward_backward,16,,,False,,4.0,5.9130597,0.010480315
2,32,CosineSchedule,md4,forward_backward,16,,,False,,4.0,5.861074,0.010787403
3,32,CosineSchedule,md4,forward_backward,16,,,False,,4.0,5.8279834,0.010740157
4,32,CosineSchedule,md4,forward_backward,16,,,False,,4.0,5.812897,0.01144882
0,32,CosineSchedule,md4,forward_backward,16,,,False,,5.0,5.635291,0.013102365
1,32,CosineSchedule,md4,forward_backward,16,,,False,,5.0,5.63678,0.0136929145
2,32,CosineSchedule,md4,forward_backward,16,,,False,,5.0,5.587324,0.013685041
3,32,CosineSchedule,md4,forward_backward,16,,,False,,5.0,5.6147738,0.013417326
4,32,CosineSchedule,md4,forward_backward,16,,,False,,5.0,5.614281,0.012960632
0,64,CosineSchedule,md4,forward_backward,32,,,False,,0.01,8.082849,0.004204723
1,64,CosineSchedule,md4,forward_backward,32,,,False,,0.01,7.912958,0.004181101
2,64,CosineSchedule,md4,forward_backward,32,,,False,,0.01,7.8595114,0.0045039356
3,64,CosineSchedule,md4,forward_backward,32,,,False,,0.01,7.9360166,0.004204723
4,64,CosineSchedule,md4,forward_backward,32,,,False,,0.01,8.028603,0.004141731
0,64,CosineSchedule,md4,forward_backward,32,,,False,,0.1,8.234689,0.0034015737
1,64,CosineSchedule,md4,forward_backward,32,,,False,,0.1,8.034649,0.0036062982
2,64,CosineSchedule,md4,forward_backward,32,,,False,,0.1,7.8793473,0.004212597
3,64,CosineSchedule,md4,forward_backward,32,,,False,,0.1,8.086424,0.0033779514
4,64,CosineSchedule,md4,forward_backward,32,,,False,,0.1,8.031625,0.0038897628
0,64,CosineSchedule,md4,forward_backward,32,,,False,,0.5,8.18938,0.0027322825
1,64,CosineSchedule,md4,forward_backward,32,,,False,,0.5,8.264462,0.00243307
2,64,CosineSchedule,md4,forward_backward,32,,,False,,0.5,8.201448,0.0027559046
3,64,CosineSchedule,md4,forward_backward,32,,,False,,0.5,8.358911,0.002417322
4,64,CosineSchedule,md4,forward_backward,32,,,False,,0.5,8.355091,0.0024566923
0,64,CosineSchedule,md4,forward_backward,32,,,False,,1.0,8.209865,0.0025118103
1,64,CosineSchedule,md4,forward_backward,32,,,False,,1.0,8.344198,0.002259842
2,64,CosineSchedule,md4,forward_backward,32,,,False,,1.0,8.098702,0.0025511805
3,64,CosineSchedule,md4,forward_backward,32,,,False,,1.0,8.224108,0.0024724402
4,64,CosineSchedule,md4,forward_backward,32,,,False,,1.0,8.249549,0.0025433064
0,64,CosineSchedule,md4,forward_backward,32,,,False,,1.5,8.000501,0.0027637787
1,64,CosineSchedule,md4,forward_backward,32,,,False,,1.5,7.993006,0.0029133852
2,64,CosineSchedule,md4,forward_backward,32,,,False,,1.5,7.9532743,0.0027559048
3,64,CosineSchedule,md4,forward_backward,32,,,False,,1.5,8.027092,0.002842519
4,64,CosineSchedule,md4,forward_backward,32,,,False,,1.5,8.033136,0.002999999
0,64,CosineSchedule,md4,forward_backward,32,,,False,,2.0,7.6481833,0.0033779517
1,64,CosineSchedule,md4,forward_backward,32,,,False,,2.0,7.7986965,0.0032677157
2,64,CosineSchedule,md4,forward_backward,32,,,False,,2.0,7.642703,0.0034488179
3,64,CosineSchedule,md4,forward_backward,32,,,False,,2.0,7.719213,0.003622046
4,64,CosineSchedule,md4,forward_backward,32,,,False,,2.0,7.786362,0.0034330697
0,64,CosineSchedule,md4,forward_backward,32,,,False,,3.0,7.305519,0.0040629907
1,64,CosineSchedule,md4,forward_backward,32,,,False,,3.0,7.183747,0.004070865
2,64,CosineSchedule,md4,forward_backward,32,,,False,,3.0,7.2340903,0.0044724396
3,64,CosineSchedule,md4,forward_backward,32,,,False,,3.0,7.250892,0.004188975
4,64,CosineSchedule,md4,forward_backward,32,,,False,,3.0,7.223884,0.0040314947
0,64,CosineSchedule,md4,forward_backward,32,,,False,,4.0,6.8390675,0.005496061
1,64,CosineSchedule,md4,forward_backward,32,,,False,,4.0,6.8179398,0.004968502
2,64,CosineSchedule,md4,forward_backward,32,,,False,,4.0,6.70473,0.005535431
3,64,CosineSchedule,md4,forward_backward,32,,,False,,4.0,6.877653,0.005251967
4,64,CosineSchedule,md4,forward_backward,32,,,False,,4.0,6.8706384,0.0050551165
0,64,CosineSchedule,md4,forward_backward,32,,,False,,5.0,6.5600657,0.0065196827
1,64,CosineSchedule,md4,forward_backward,32,,,False,,5.0,6.530946,0.006314959
2,64,CosineSchedule,md4,forward_backward,32,,,False,,5.0,6.6393485,0.0061338567
3,64,CosineSchedule,md4,forward_backward,32,,,False,,5.0,6.4888983,0.006425195
4,64,CosineSchedule,md4,forward_backward,32,,,False,,5.0,6.5796237,0.0059212577
0,128,CosineSchedule,md4,forward_backward,64,,,False,,0.01,8.731241,0.0019763773
1,128,CosineSchedule,md4,forward_backward,64,,,False,,0.01,8.752735,0.0021811018
2,128,CosineSchedule,md4,forward_backward,64,,,False,,0.01,8.724695,0.0019685032
3,128,CosineSchedule,md4,forward_backward,64,,,False,,0.01,8.731837,0.0020708658
4,128,CosineSchedule,md4,forward_backward,64,,,False,,0.01,8.692109,0.0020866136
0,128,CosineSchedule,md4,forward_backward,64,,,False,,0.1,8.730051,0.001779527
